,Consistency,TotalConsistency,Form,Opposition,Venue,BatBowl,DreamTeam
Rohit Sharma,3.7509,4.0075,3.2768,3.3452,2.0352,1,0
Quinton de Kock,2.6438,3.1921,3.7158,2.5384,2.782,1,1
Suryakumar Yadav,2.6438,2.4742,3.703,3.2954,3.5518,1,0
Saurabh Tiwary,2.2176,2.4742,0,2.6596,3.09,1,1
Krunal Pandya,2.313,2.313,2.641,2.1278,1.1686,1,0
Hardik Pandya,2.5696,2.5696,4.1262,3.6444,1.8968,1,0
Kieron Pollard,3.194,3.194,3.5418,3.8112,2.2776,1,0
Murali Vijay,2.789,3.0684,2.4144,3.0702,1.2742,1,0
Shane Watson,3.0768,3.8855,3.1684,3.1258,2.3974,1,0
Faf du Plessis,2.956,2.956,3.502,3.0702,3.569,1,1
Ambati Rayudu,2.8799,3.2691,2.788,3.2596,3.6018,1,1
Kedar Jadhav,2.011,2.4414,2.138,3.0702,0,1,0
MS Dhoni,4.102,4.2076,3.9282,3.6602,2.869,1,0
Ravindra Jadeja,2.363,2.8434,2.822,2.6082,1.7272,1,1
Krunal Pandya,2.7123,2.7123,3.5175,3.4587,1.7319,0,0
Hardik Pandya,2.6148,2.3514,3.7052,3.4587,0,0,0
Kieron Pollard,2.7378,2.7378,0,3.9476,0.5801,0,0
James Pattinson,1.6141,1.6141,0,1.8481,2.0101,0,1
Rahul Chahar,2.129,2.0315,3.3539,2.7544,1.7319,0,1
Trent Boult,1.7116,2.4489,0,3.0747,2.1492,0,0
Jasprit Bumrah,3.1297,3.1297,4.1531,3.0747,1.7319,0,0
Shane Watson,1.2589,3.5161,0,3.9255,1.5038,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,3.5857,3.0521,0,1
Sam Curran,1.9693,1.8973,0,1.8728,2.0101,0,1
Deepak Chahar,2.7066,2.4489,4.1531,3.7764,2.4719,0,1
Piyush Chawla,1.4191,4.5218,0,4.4118,3.9104,0,1
Lungisani Ngidi,2.0923,2.0923,0,2.3344,2.4719,0,1
Shikhar Dhawan,2.6438,3.8042,3.7714,3.3124,2.2918,1,0
Prithvi Shaw,2.2176,2.2176,3.1784,1.8712,0.8666,1,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.7586,2.631,1,1
Rishabh Pant,3.3103,3.3103,3.9096,2.4828,2.48,1,1
Shimron Hetmyer,0.8338,1.5848,0,0.8338,0.8666,1,0
Marcus Stoinis,3.1982,2.5882,0,3.4548,3.4634,1,1
Axar Patel,1.5292,1.904,2.3844,0.9848,1.0176,1,1
Ravichandran Ashwin,0.9848,1.753,0,2.1808,1.7004,1,1
KL Rahul,3.5455,3.6739,4.2755,3.1156,2.7694,1,1
Mayank Agarwal,2.162,2.0152,3.0728,2.9646,3.7528,1,1
Karun Nair,2.1948,2.5298,0.9848,4.0792,0.8666,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,0.1582,0.2566,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.9696,1.5948,1,0
Glenn Maxwell,2.5924,2.5924,0,1.7416,1.2742,1,0
Krishnappa Gowtham,2.2902,1.8312,0,2.5468,2.3558,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Marcus Stoinis,1.9693,1.9595,0,2.3344,2.1936,0,1
Axar Patel,1.6136,3.2527,2.9424,2.6521,1.9447,0,1
Ravichandran Ashwin,1.9693,4.4603,0,4.5957,3.052,0,1
Kagiso Rabada,2.5712,2.5712,4.0616,3.2875,2.4719,0,1
Anrich Nortje,0.6808,0.6808,0,0.6354,0.8584,0,0
Mohit Sharma,1.4191,3.4129,0,3.3122,3.7191,0,0
Glenn Maxwell,1.2589,1.6763,0,1.2929,0.5801,0,0
Krishnappa Gowtham,0.6808,1.5161,0,1.2708,0.8584,0,0
Chris Jordan,0.6808,1.8973,0,1.1685,0.8584,0,0
Sheldon Cottrell,1.9693,1.9693,0,2.3344,2.4719,0,1
Mohammed Shami,2.2892,2.5173,3.8685,2.9698,3.493,0,1
Ravi Bishnoi,1.7116,0,0,0,0,0,0
David Warner,3.9592,4.5183,4.4265,4.6831,3.8812,1,0
Jonny Bairstow,3.4015,3.4015,3.9047,3.4343,3.4634,1,1
Manish Pandey,2.6438,2.9569,3.6716,3.0274,3.1956,1,1
Priyam Garg,1.411,0,0,0,0,1,0
Vijay Shankar,2.162,2.162,2.909,1.8712,0.2566,1,0
Mitchell Marsh,0.2238,1.5292,0,1.4636,0.2566,1,0
Aaron Finch,1.9882,2.497,0,2.9218,4.0094,1,1
Devdutt Padikkal,3.0472,3.0472,0,3.0472,3.3124,1,1
Virat Kohli,4.1977,4.1977,3.8335,4.293,1.6818,1,1
AB de Villiers,4.183,4.5183,4.1904,3.8668,3.8256,1,1
Josh Philippe,0.4076,0,0,0,0,1,0
Washington Sundar,1.8312,1.8312,0.7354,0.7354,0,1,0
Shivam Dube,1.562,1.562,1.713,0.9848,1.0176,1,1
Vijay Shankar,1.2589,1.0987,1.2048,1.3618,2.1936,0,0
Abhishek Sharma,1.9693,1.9693,2.034,2.3344,2.1936,0,1
Mitchell Marsh,0.6808,2.4122,0,1.8728,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,3.1189,0.8584,0,0
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,3.7322,2.5249,0,0
Sandeep Sharma,1.934,3.5719,2.9483,4.2406,3.052,0,0
T Natarajan,1.5166,1.0987,0,1.1685,1.871,0,1
Washington Sundar,1.5166,2.0315,2.155,2.63,0.5801,0,0
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.1936,0,1
Navdeep Saini,1.934,1.934,2.8032,2.6521,2.4719,0,1
Umesh Yadav,2.0315,3.841,2.5186,3.5857,0.8584,0,0
Dale Steyn,2.4489,3.4906,2.155,1.1685,3.6321,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,3.7543,3.6321,0,1
Robin Uthappa,0.8338,3.3224,2.8848,3.6274,1.8842,1,0
Yashasvi Jaiswal,1.1358,0,0,0,0,1,0
Sanju Samson,2.6775,2.8118,3.6239,2.44,3.8084,1,1
Steven Smith,2.6438,3.1365,3.0944,3.6474,3.72,1,1
David Miller,0.2238,3.1365,2.708,3.7556,3.5504,1,0
Riyan Parag,2.1948,2.1948,2.8776,1.713,1.4706,1,0
Rahul Tewatia,1.713,1.713,1.9882,2.2448,1.7458,1,1
Murali Vijay,2.789,3.0684,2.4144,3.8407,2.5998,1,0
Shane Watson,3.0768,3.8855,3.1684,3.3673,3.72,1,1
Faf du Plessis,2.956,2.956,3.502,3.4464,3.3266,1,1
Ruturaj Gaikwad,0.2238,0.2238,0,0.1582,0.2566,1,0
MS Dhoni,4.102,4.2076,3.9282,4.0308,1.1828,1,1
Kedar Jadhav,2.011,2.4414,2.138,2.4828,2.8876,1,1
Ravindra Jadeja,2.363,2.8434,2.822,3.3424,1.2742,1,0
Sam Curran,1.864,2.313,2.504,1.864,1.8968,1,1
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0,0,0
Shreyas Gopal,2.5097,2.9271,3.6626,2.8012,1.7319,0,0
Tom Curran,1.4191,1.8718,0,2.2126,1.7319,0,1
Jofra Archer,2.2892,2.2892,2.9483,3.2875,2.0101,0,1
Jaydev Unadkat,1.6763,3.5974,2.7063,3.0747,2.312,0,0
Shane Watson,1.2589,3.5161,0,1.9946,0,0,0
Ravindra Jadeja,3.4372,3.964,3.9654,4.5656,1.4385,0,0
Sam Curran,1.9693,1.8973,3.0496,2.6521,2.4719,0,1
Deepak Chahar,2.7066,2.4489,4.1531,3.2875,1.871,0,1
Piyush Chawla,1.4191,4.5218,2.8032,4.4118,1.7319,0,0
Lungisani Ngidi,2.0923,2.0923,0,1.5551,1.7319,0,0
Sunil Narine,2.1106,2.1106,2.1206,1.6562,1.5308,1,0
Shubman Gill,2.6766,2.6766,3.502,2.4514,1.0176,1,0
Nitish Rana,2.2176,2.2176,3.298,2.3958,2.2048,1,0
Eoin Morgan,2.162,2.2176,0,1.9242,1.4438,1,1
Andre Russell,2.7948,3.0514,4.0364,3.0172,1.5948,1,0
Dinesh Karthik,3.2538,3.3224,3.5974,3.2212,2.3104,1,1
Nikhil Naik,0.8338,0.9848,0.8338,0.8338,0.8666,1,0
Shivam Mavi,0.952,0.952,0,0.9848,1.0176,1,0
Rohit Sharma,3.7509,4.0075,3.2768,4.4009,3.5832,1,1
Quinton de Kock,2.6438,2.7659,3.7158,2.2334,2.1862,1,0
Suryakumar Yadav,2.6438,2.4742,3.703,3.7114,3.8412,1,1
Saurabh Tiwary,2.2176,2.4742,0,3.0702,3.0714,1,0
Kieron Pollard,3.194,3.194,3.5418,3.2212,3.1114,1,1
Hardik Pandya,2.5696,2.5696,4.1262,4.0236,2.0024,1,0
Krunal Pandya,2.5696,2.5696,2.641,3.06,1.2742,1,0
Sunil Narine,3.7981,4.0615,2.9242,4.8833,4.601,0,0
Andre Russell,3.093,2.9955,3.4206,3.268,2.1936,0,0
Pat Cummins,0.9385,1.934,0,1.8039,0.5801,0,1
Kuldeep Yadav,2.4744,2.4744,1.8586,2.246,0.8584,0,0
Sandeep Warrier,0.9385,0.9385,1.4348,1.2708,0.5801,0,0
Shivam Mavi,1.2589,1.2589,0,2.3344,2.4719,0,1
Kieron Pollard,2.7378,2.7378,0,2.6326,1.3647,0,1
Hardik Pandya,2.6148,2.3514,3.7052,3.6052,0,0,0
Krunal Pandya,2.7123,2.7123,3.5175,3.2433,1.3647,0,0
Rahul Chahar,2.129,2.129,3.3539,2.2126,2.9129,0,1
James Pattinson,1.9693,1.9693,0,2.3344,3.052,0,1
Trent Boult,1.9693,2.6091,2.2158,2.9698,3.052,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,3.6078,2.7738,0,1
KL Rahul,3.6242,3.9036,4.2755,4.1485,4.1346,1,1
Mayank Agarwal,2.162,2.0152,3.0728,2.3318,4.0094,1,1
Karun Nair,2.1948,2.5298,0.9848,3.2768,2.1534,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,2.5654,1.2742,1,0
Glenn Maxwell,2.5924,2.5924,0,2.4828,1.5308,1,1
Sarfaraz Khan,2.621,2.313,3.3038,1.562,1.5948,1,0
James Neesham,0,0,0,0,0,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Devdutt Padikkal,2.1948,2.1948,0,0.8338,2.7166,1,0
Aaron Finch,1.9882,2.497,0,3.0202,4.115,1,1
Virat Kohli,4.1977,4.1977,3.8335,3.4145,1.7874,1,0
AB de Villiers,4.183,4.0921,4.1904,4.3486,4.0822,1,1
Josh Philippe,0.801,0,0,0,0,1,0
Shivam Dube,1.562,1.562,1.713,1.562,1.2742,1,1
Washington Sundar,1.8312,1.6802,0.7354,2.5654,2.48,1,1
Glenn Maxwell,1.6763,1.6763,0,2.9945,1.3647,0,1
James Neesham,0.6808,0,0,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.9945,2.1936,0,1
Ravi Bishnoi,1.9693,0,0,0,0,0,1
Mohammed Shami,2.2892,2.5173,3.8685,3.2901,3.9104,0,1
Sheldon Cottrell,1.9693,1.9693,0,2.3344,3.052,0,1
Shivam Dube,1.9693,1.9693,0.6115,2.3344,2.7737,0,1
Washington Sundar,1.4191,2.0315,2.155,2.1658,0.5801,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.8039,2.4511,0,0
Umesh Yadav,1.934,3.841,2.5186,4.9355,1.4385,0,0
Dale Steyn,2.4489,3.3931,2.155,3.0747,3.6322,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.6178,4.2122,0,0
Shubman Gill,2.6766,2.6766,3.502,3.4094,3.4508,1,1
Sunil Narine,2.1106,2.1106,2.1206,2.5354,1.7874,1,0
Nitish Rana,2.3686,2.2176,3.298,2.9646,2.6124,1,1
Dinesh Karthik,2.7948,3.3224,3.5974,2.4244,2.1408,1,0
Eoin Morgan,2.162,2.2176,0,3.2296,3.1956,1,1
Andre Russell,2.7948,3.0514,4.0364,2.6338,1.5948,1,1
Shivam Mavi,0.952,0.952,0,1.1358,1.0176,1,0
David Warner,3.9592,4.5183,4.4265,4.6078,2.7366,1,1
Jonny Bairstow,3.4015,3.4015,3.9047,3.4548,0.8666,1,0
Manish Pandey,2.6438,3.0125,3.6716,2.9946,3.7116,1,1
Priyam Garg,1.411,0,0,0,0,1,0
Wriddhiman Saha,1.6802,2.7103,2.1206,3.9789,2.3104,1,1
Mohammad Nabi,1.864,1.864,2.1206,0.8606,0.8934,1,0
Sunil Narine,3.7981,4.0615,2.9242,3.3924,4.601,0,0
Andre Russell,3.093,2.9955,3.4206,3.4587,2.4719,0,1
Pat Cummins,0.9385,1.934,0,1.2929,1.7612,0,1
Shivam Mavi,1.2589,1.2589,0,1.2929,2.6346,0,0
Kuldeep Yadav,2.4744,2.4744,1.8586,4.0941,1.1602,0,0
Varun Chakravarthy,0,1.5166,0,1.8481,2.0101,0,1
Kamlesh Nagarkoti,0.6808,0.6808,0,0.6354,0.5801,0,0
Mohammad Nabi,1.5769,1.5769,3.1039,0.6354,0.8584,0,0
Abhishek Sharma,1.8718,1.8718,2.034,0.6354,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,3.561,2.0101,0,1
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,4.4118,1.9448,0,0
Khaleel Ahmed,1.9693,1.9693,3.0934,2.8233,1.9154,0,0
T Natarajan,1.5166,1.2589,0,2.0414,1.9154,0,1
Steven Smith,2.6438,3.1921,3.0944,3.549,4.0322,1,1
Jos Buttler,3.2538,2.7948,3.1398,4.1348,0.8666,1,0
Sanju Samson,2.6775,2.8118,3.6239,3.703,4.065,1,1
Robin Uthappa,1.1358,3.3224,2.8848,3.2568,2.1408,1,1
Riyan Parag,2.162,2.162,2.8776,0.1582,1.4252,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,2.6024,3.2938,1,1
Mayank Agarwal,2.5491,2.6775,3.0728,3.7223,3.878,1,1
KL Rahul,3.6242,3.7526,4.2755,3.9838,3.6746,1,1
Nicholas Pooran,2.2574,2.2574,2.5468,2.5468,1.0772,1,1
Glenn Maxwell,2.5924,2.5924,0,3.1156,4.065,1,0
Karun Nair,2.1948,2.5298,0.9848,1.713,0,1,0
James Neesham,0,0,0,0,0,1,0
Sarfaraz Khan,2.621,2.313,3.3038,3.3992,0,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Riyan Parag,0.9385,0.9385,1.5317,0,0,0,0
Tom Curran,1.4191,1.7743,0,1.3618,2.312,0,1
Jofra Archer,2.1917,2.1917,2.9483,2.9724,1.7612,0,0
Shreyas Gopal,2.4122,2.8296,3.6626,1.9283,1.7612,0,0
Ankit Rajpoot,1.4191,2.3762,1.4348,1.2929,1.7319,0,1
Jaydev Unadkat,1.6763,3.4372,2.7063,3.0747,2.5249,0,0
Glenn Maxwell,1.6763,1.6763,0,1.1685,0.8584,0,0
James Neesham,1.0987,0,0,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.1879,2.1936,0,1
Mohammed Shami,2.2892,2.6148,3.8685,3.3122,3.3539,0,1
Sheldon Cottrell,1.9693,1.9693,0,1.7484,1.6372,0,0
Ravi Bishnoi,1.8718,0,0,0,0,0,0
Devdutt Padikkal,2.621,2.621,0,3.0472,3.455,1,1
Aaron Finch,2.621,2.497,0,3.0174,4.4272,1,1
Virat Kohli,4.1977,4.1977,3.8335,3.2012,2.044,1,1
AB de Villiers,4.183,4.5183,4.1904,4.6275,4.5454,1,0
Gurkeerat Singh Mann,2.772,1.703,2.772,1.143,0,1,0
Shivam Dube,1.713,1.713,1.713,1.0116,2.869,1,1
Washington Sundar,1.8312,1.6802,0.7354,1.2414,2.48,1,1
Quinton de Kock,2.6438,2.7659,3.7158,4.2597,2.9204,1,0
Rohit Sharma,3.7509,4.0075,3.2768,3.2796,2.6526,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,2.6082,1.7272,1,0
Ishan Kishan,2.162,2.1848,1.8186,2.7278,3.4962,1,1
Hardik Pandya,2.5696,2.5696,4.1262,4.2246,1.5948,1,0
Kieron Pollard,3.194,3.194,3.5418,4.3358,4.3216,1,1
Krunal Pandya,2.5696,2.5696,2.641,2.758,0.2566,1,0
Shivam Dube,1.9693,1.9693,0.6115,0,2.7737,0,1
Washington Sundar,1.5166,2.0315,2.155,3.2654,1.9003,0,1
Isuru Udana,1.8718,1.8718,0,2.1879,2.3328,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.2708,2.5249,0,0
Adam Zampa,1.4191,2.1538,0,2.5303,1.7319,0,1
Yuzvendra Chahal,3.5719,3.8353,3.8608,4.4713,4.2122,0,0
Hardik Pandya,2.6148,2.3514,3.7052,2.6326,0,0,0
Kieron Pollard,2.7378,2.7378,0,3.9476,1.1602,0,1
Krunal Pandya,2.7123,2.7123,3.5175,3.9008,0.5801,0,0
James Pattinson,1.5166,1.5166,0,0.6354,0.8584,0,0
Rahul Chahar,2.129,2.129,3.3539,1.2929,1.871,0,1
Trent Boult,1.9693,2.6091,2.2158,3.2875,2.4719,0,1
Jasprit Bumrah,3.1297,3.3931,4.1531,4.072,1.1602,0,0
Shikhar Dhawan,2.6438,3.8042,3.7714,1.6676,2.48,1,0
Prithvi Shaw,2.3686,2.3686,3.1784,2.9146,0,1,0
Shreyas Iyer,2.9232,2.9232,3.6076,3.348,0,1,0
Rishabh Pant,3.3103,3.3103,3.9096,4.0501,0,1,1
Shimron Hetmyer,0.8338,1.5848,1.9268,3.1982,0,1,0
Marcus Stoinis,3.1982,2.5882,3.3736,0,0,1,0
Axar Patel,1.5292,1.904,2.3844,2.9616,1.2742,1,1
David Warner,3.9592,4.5183,4.4265,4.1848,2.7366,1,1
Jonny Bairstow,3.4015,3.4015,3.9047,3.1426,0.8666,1,1
Manish Pandey,2.6438,3.0125,3.6716,4.0308,3.7116,1,0
Kane Williamson,2.6994,2.6994,2.4514,3.8726,0,1,1
Priyam Garg,1.411,0,0,0,0,1,0
Abdul Samad,0,0,0,0,0,1,1
Marcus Stoinis,1.9693,1.9595,1.5317,0.6354,0,0,0
Axar Patel,1.7738,3.2527,2.9424,3.4145,3.052,0,1
Kagiso Rabada,2.5712,2.5712,4.0616,3.2005,0,0,1
Anrich Nortje,1.4539,1.6141,0,0,0,0,0
Amit Mishra,3.5719,4.9025,3.0693,3.0747,2.4719,0,1
Ishant Sharma,1.6141,3.2224,3.2329,2.1216,2.0101,0,0
Abhishek Sharma,1.8718,1.8718,2.034,2.3344,0.5801,0,0
Rashid Khan,2.5464,2.8098,3.9654,3.561,2.0101,0,1
Bhuvneshwar Kumar,3.6334,4.2217,3.4147,3.3924,1.9448,0,1
T Natarajan,1.5166,1.2589,0,0.6354,1.9154,0,1
Abdul Samad,0,0,0,0,0,0,1
Khaleel Ahmed,1.9693,1.9693,3.0934,2.6521,1.9154,0,0
Steven Smith,2.6438,3.1921,3.0944,3.4464,1.4438,1,1
Jos Buttler,3.2538,2.7948,3.1398,3.0786,0,1,1
Sanju Samson,2.6775,2.8118,3.6239,3.2768,1.5948,1,0
Robin Uthappa,1.1358,3.3224,2.8848,3.0702,3.3124,1,0
Riyan Parag,2.162,2.162,2.8776,3.1426,0,1,0
Rahul Tewatia,2.3458,2.1948,1.9882,1.864,0,1,0
Shubman Gill,2.6766,2.6766,3.502,2.2448,0,1,1
Sunil Narine,2.1106,2.1106,2.1206,2.9616,0,1,1
Dinesh Karthik,2.7948,3.3224,3.5974,3.6602,3.1428,1,0
Nitish Rana,2.3686,2.2176,3.298,2.2448,0,1,0
Eoin Morgan,2.162,2.2176,0,3.5104,0,1,1
Andre Russell,2.7948,3.0514,4.0364,2.8034,0,1,0
Riyan Parag,0.9385,0.9385,1.5317,0.6354,0,0,0
Tom Curran,1.4191,1.7743,0,0,0,0,1
Jofra Archer,2.1917,2.1917,2.9483,1.9283,0,0,1
Shreyas Gopal,2.4122,2.8296,3.6626,2.6547,0,0,0
Ankit Rajpoot,1.4191,2.3762,1.4348,0.6354,0,0,0
Jaydev Unadkat,1.6763,3.4372,2.7063,3.0747,1.7612,0,1
Sunil Narine,3.7981,4.0615,2.9242,3.268,2.2883,0,1
Andre Russell,3.093,2.9955,3.4206,3.3122,0,0,0
Kamlesh Nagarkoti,0.6808,0.6808,0,0,0,0,1
Pat Cummins,0.9385,1.934,0,0,0,0,0
Shivam Mavi,1.2589,1.2589,0,1.8728,0,0,1
Kuldeep Yadav,2.4744,2.4744,1.8586,3.6647,0,0,0
Varun Chakravarthy,0,1.5166,0,0,0,0,1
KL Rahul,3.6242,3.7526,4.2755,4.4209,2.0538,1,0
Mayank Agarwal,2.5491,2.6775,3.0728,2.8148,0.8666,1,1
Karun Nair,2.1948,2.5298,0.9848,2.8476,1.1232,1,0
Nicholas Pooran,2.2574,2.2574,2.5468,0,0,1,1
Glenn Maxwell,2.5924,2.5924,0,3.2738,3.7528,1,0
James Neesham,0,0,0,0,0,1,0
Sarfaraz Khan,2.621,2.313,3.3038,1.713,0,1,0
Ravi Bishnoi,0,0,0,0,0,1,0
Rohit Sharma,3.7509,4.0075,3.2768,3.8896,3.5832,1,1
Quinton de Kock,2.6438,2.7659,3.7158,3.5732,2.1862,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,3.3722,3.8412,1,1
Ishan Kishan,2.162,2.1848,1.8186,2.2262,0,1,0
Kieron Pollard,3.194,3.194,3.5418,3.9096,3.1114,1,1
Hardik Pandya,2.5696,2.5696,4.1262,3.06,2.0024,1,1
Krunal Pandya,2.5696,2.5696,2.641,2.8034,1.2742,1,0
Glenn Maxwell,1.6763,1.6763,0,1.2929,0.5801,0,0
James Neesham,1.0987,0,0,0,0,0,0
Murugan Ashwin,1.3564,1.934,2.1432,2.63,0,0,0
Ravi Bishnoi,1.8718,0,0,0,0,0,0
